Club,Dernière montée,Budget en M€,Classement précédent,Entraîneur en chef,Stade,Capacité,année,Rang,J,V,N,D,Em,Ee,Bo,Bd,Pm,Pe,Diff,Pts,J1_x,J2_x,J3_x,J4_x,J5_x,J6_x,J7_x,J8_x,J9_x,J10_x,J11_x,J12_x,J13_x,J14_x,J15_x,J16_x,J17_x,J18_x,J19_x,J20_x,J21_x,J22_x,J23_x,J24_x,J25_x,J26_x,J1_y,J2_y,J3_y,J4_y,J5_y,J6_y,J7_y,J8_y,J9_y,J10_y,J11_y,J12_y,J13_y,J14_y,J15_y,J16_y,J17_y,J18_y,J19_y,J20_y,J21_y,J22_y,J23_y,J24_y,J25_y,J26_y,JR1,JR2,JR3
Stade rochelais,2014,25.6,7,Jono Gibbes  Grégory Patat  Xavier Garbajosa  Akvsenti Giorgadze,Stade Marcel-Deflandre (La Rochelle),16000.0,2018,5,26,16,0,10,92,69,6,1,719,616,103,71,5,9,10,7,6,9,9,8,6,4,3,3,3.0,3.0,3.0,3.0,4.0,4.0,7.0,7.0,8.0,7.0,6.0,4.0,7.0,5.0,V,D,D,V,V,D,V,V,V,V,V,V,V,D,V,V,D,D,D,D,D,V,V,V,D,V,,,
RC Toulon,2008,30.0,4,Patrice Collazo Juan Martín Fernández Lobbe Sébastien Tillous-Borde,Stade Mayol (Toulon),18200.0,2018,9,26,12,0,14,72,59,6,3,572,542,30,57,11,14,11,12,11,11,12,13,12,12,10,10,10.0,11.0,11.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,D,D,V,D,V,D,D,D,V,D,V,V,D,D,V,D,V,V,D,D,V,D,V,D,V,V,,,
Stade toulousain,1907,32.0,3,Ugo Mola  Régis Sonnes  William Servat  Jean Bouilhou  Clément Poitrenaud  Laurent Thuéry,Stade Ernest-Wallon (Toulouse),19500.0,2018,1,26,21,2,3,102,57,9,1,820,508,312,98,7,4,3,4,4,8,6,3,2,2,2,2,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,N,V,V,V,D,D,V,V,V,V,V,N,V,V,V,V,V,V,V,V,D,V,V,V,V,V,,,
SU Agen,2017,12.5,12,Philippe Sella  Christophe Laussucq  Rémy Vaquin  Benoît Lecouls,Stade Armandie (Agen),14042.0,2019,13,17,5,1,11,36,46,0,4,323,414,-91,26,13,10,12,9,10,11,12,10,13,13,13,13,14.0,13.0,14.0,12.0,13.0,,,,,,,,,,D,V,D,V,D,D,N,V,D,D,D,D,D,V,D,V,D,,,,,,,,,,,,
Aviron bayonnais,2019,16.6,17,Yannick Bru  Joël Rey  Rémy Ladauge,Stade Jean-Dauger (Bayonne),16934.0,2019,9,17,7,1,9,27,45,0,3,327,409,-82,33,5,5,7,5,4,3,3,3,4,10,8,11,11.0,10.0,11.0,11.0,9.0,,,,,,,,,,V,D,D,V,V,V,V,D,D,D,N,D,D,D,D,V,V,,,,,,,,,,,,
Union Bordeaux Bègles,2011,26.3,10,Christophe Urios  Frédéric Charrier  Julien Laïrle  Jean-Baptiste Poux  Heini Adams,Stade Chaban-Delmas (Bordeaux),34694.0,2019,1,17,13,1,3,53,28,6,1,475,317,158,61,6,2,2,2,2,2,2,2,2,2,1,1,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,V,V,V,V,N,D,V,D,V,V,V,V,V,D,V,V,V,,,,,,,,,,,,
CA Brive,2019,16.8,15,Jeremy Davidson  Marc Dal Maso  Jean-Baptiste Péjoine,Stade Amédée-Domenech (Brive-la-Gaillarde),13979.0,2019,11,17,7,1,9,32,48,1,2,364,439,-75,33,12,14,13,14,12,9,13,9,12,8,6,9,9.0,9.0,9.0,10.0,11.0,,,,,,,,,,D,D,V,D,V,V,D,V,D,V,N,D,D,V,D,D,V,,,,,,,,,,,,
Castres olympique,1989,25.0,7,Mauricio Reggiardo  Stéphane Prosper  Patrick Furet  Joe Worsley,Stade Pierre-Fabre (Castres),12500.0,2019,10,17,7,0,10,38,43,3,2,392,460,-68,33,7,8,10,11,9,5,8,12,11,12,11,12,12.0,12.0,10.0,9.0,10.0,,,,,,,,,,V,D,D,D,V,V,D,D,V,D,V,D,D,D,V,V,D,,,,,,,,,,,,
ASM Clermont,1925,33.7,2,Franck Azéma  Bernard Goutta  Didier Bès  Xavier Sadourny,Stade Marcel-Michelin (Clermont-Ferrand),19022.0,2019,6,17,10,0,7,39,45,1,0,423,415,8,41,4,3,4,7,5,4,4,4,6,5,7,6,8.0,7.0,6.0,7.0,6.0,,,,,,,,,,V,V,D,D,V,V,D,V,D,V,D,V,D,V,V,D,V,,,,,,,,,,,,
Lyon OU,2016,33.6,3,Pierre Mignoni  David Gérard  Kendrick Lynn David Attoub,Matmut Stadium Gerland (Lyon),35029.0,2019,2,17,12,0,5,50,27,5,0,463,304,159,53,1,1,1,1,1,1,1,1,1,1,2,2,2.0,1.0,2.0,2.0,2.0,,,,,,,,,,V,V,V,V,V,V,V,D,V,D,D,V,V,V,D,V,D,,,,,,,,,,,,
Montpellier HR,2003,31.8,6,Xavier Garbajosa  Pierre-Philippe Lafond  Nathan Hines,GGL Stadium (Montpellier),15697.0,2019,8,17,6,3,8,42,37,2,5,404,390,14,37,8,4,3,4,6,8,10,7,7,3,5,8,6.0,8.0,7.0,8.0,8.0,,,,,,,,,,D,V,V,D,N,D,D,V,N,V,D,N,V,D,V,D,D,,,,,,,,,,,,
Stade français Paris,1997,40.2,8,Heyneke Meyer  Pieter de Villiers  Dewald Senekal  Ricardo Loubscher  John McFarland  Laurent Sempéré  Julien Arias,Stade Jean-Bouin (Paris),20000.0,2019,14,17,5,1,11,30,50,0,3,328,488,-160,25,14,13,9,13,14,14,14,14,14,14,14,14,13.0,14.0,12.0,13.0,14.0,,,,,,,,,,D,D,V,D,D,D,V,D,D,D,V,N,V,D,V,D,D,,,,,,,,,,,,
