Club,Dernière montée,Budget en M€,Classement précédent,Entraîneur en chef,Stade,Capacité,année
Stade rochelais,2014.0,25.6,7.0,Jono Gibbes  Grégory Patat  Xavier Garbajosa  Akvsenti Giorgadze,Stade Marcel-Deflandre (La Rochelle),16000.0,2018
RC Toulon,2008.0,30.0,4.0,Patrice Collazo Juan Martín Fernández Lobbe Sébastien Tillous-Borde,Stade Mayol (Toulon),18200.0,2018
Stade toulousain,1907.0,32.0,3.0,Ugo Mola  Régis Sonnes  William Servat  Jean Bouilhou  Clément Poitrenaud  Laurent Thuéry,Stade Ernest-Wallon (Toulouse),19500.0,2018
SU Agen,2017.0,12.5,12.0,Philippe Sella  Christophe Laussucq  Rémy Vaquin  Benoît Lecouls,Stade Armandie (Agen),14042.0,2019
Aviron bayonnais,2019.0,16.6,17.0,Yannick Bru  Joël Rey  Rémy Ladauge,Stade Jean-Dauger (Bayonne),16934.0,2019
Union Bordeaux Bègles,2011.0,26.3,10.0,Christophe Urios  Frédéric Charrier  Julien Laïrle  Jean-Baptiste Poux  Heini Adams,Stade Chaban-Delmas (Bordeaux),34694.0,2019
CA Brive,2019.0,16.8,15.0,Jeremy Davidson  Marc Dal Maso  Jean-Baptiste Péjoine,Stade Amédée-Domenech (Brive-la-Gaillarde),13979.0,2019
Castres olympique,1989.0,25.0,7.0,Mauricio Reggiardo  Stéphane Prosper  Patrick Furet  Joe Worsley,Stade Pierre-Fabre (Castres),12500.0,2019
ASM Clermont,1925.0,33.7,2.0,Franck Azéma  Bernard Goutta  Didier Bès  Xavier Sadourny,Stade Marcel-Michelin (Clermont-Ferrand),19022.0,2019
Lyon OU,2016.0,33.6,3.0,Pierre Mignoni  David Gérard  Kendrick Lynn David Attoub,Matmut Stadium Gerland (Lyon),35029.0,2019
Montpellier HR,2003.0,31.8,6.0,Xavier Garbajosa  Pierre-Philippe Lafond  Nathan Hines,GGL Stadium (Montpellier),15697.0,2019
Stade français Paris,1997.0,40.2,8.0,Heyneke Meyer  Pieter de Villiers  Dewald Senekal  Ricardo Loubscher  John McFarland  Laurent Sempéré  Julien Arias,Stade Jean-Bouin (Paris),20000.0,2019
Section paloise,2015.0,24.2,11.0,Nicolas Godignon  Frédéric Manca,Stade du Hameau (Pau),18324.0,2019
Racing 92,2009.0,28.9,4.0,Laurent Travers  Mike Prendergast  Patricio Noriega  Chris Masoe,Paris La Défense Arena (Nanterre),32000.0,2019
Stade rochelais,2014.0,29.0,5.0,Jono Gibbes  Ronan O'Gara  Grégory Patat  Akvsenti Giorgadze,Stade Marcel-Deflandre (La Rochelle),16000.0,2019
