Club,J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,année
FC Grenoble,V,D,V,D,V,D,V,N,V,V,D,D,V,D,V,V,V,D,V,D,D,D,D,D,N,D,2013
Montpellier HR,N,D,V,V,V,D,V,D,V,D,V,D,D,D,V,D,V,V,V,D,V,V,V,V,D,V,2013
US Oyonnax,D,V,D,V,V,D,D,V,D,D,V,D,V,V,D,V,V,D,V,D,D,D,V,D,N,D,2013
Racing 92,V,D,V,D,V,V,V,D,D,V,D,D,V,N,V,D,V,N,V,D,V,V,V,V,V,D,2013
Stade français Paris,D,V,V,D,V,V,V,V,D,D,V,D,V,V,V,V,V,D,D,V,D,N,D,D,V,D,2013
Stade toulousain,D,V,D,V,D,V,V,D,V,V,D,V,D,V,D,V,D,D,V,D,V,N,D,V,N,V,2013
RC Toulon,N,V,D,V,V,D,V,D,V,D,V,V,D,V,D,D,D,V,V,V,V,D,V,V,V,V,2013
USA Perpignan,V,D,D,V,D,V,D,V,V,V,D,D,D,D,D,V,D,N,D,V,D,V,D,V,D,D,2013
Union Bordeaux Bègles,V,D,V,D,D,V,D,D,V,D,D,V,V,D,V,D,D,V,D,V,V,V,V,D,D,V,2013
Aviron bayonnais,D,V,D,D,V,D,V,D,D,V,D,N,V,D,D,V,D,V,D,V,D,D,V,D,D,V,2014
CA Brive,V,D,D,V,D,D,V,D,D,V,V,D,V,D,V,D,V,D,D,V,D,V,V,D,D,V,2014
Castres olympique,D,D,V,D,D,V,D,V,D,D,V,D,D,V,V,D,D,D,V,D,V,V,V,D,V,D,2014
ASM Clermont,V,V,D,V,V,V,V,D,V,D,V,D,V,D,V,V,D,N,V,V,D,D,D,V,V,V,2014
FC Grenoble,D,D,V,V,D,V,V,D,V,D,V,V,D,D,V,D,D,V,D,V,D,D,D,D,V,D,2014
Lyon OU,D,D,V,V,D,D,V,D,V,D,D,V,D,V,V,D,D,D,D,D,D,D,D,N,D,V,2014
Stade rochelais,D,D,V,D,V,D,D,V,D,V,D,N,D,V,D,D,V,V,N,V,V,N,V,N,N,D,2014
Montpellier HR,D,V,V,V,D,V,D,V,V,D,D,D,V,D,V,D,V,D,N,D,V,N,D,V,D,D,2014
US Oyonnax,D,D,V,D,V,D,D,D,D,V,V,V,D,V,D,V,V,V,V,D,V,V,V,D,V,D,2014
Racing 92,V,D,V,D,V,V,D,V,D,D,V,V,V,D,V,D,V,N,V,D,V,N,D,D,N,V,2014
Stade français Paris,V,V,D,V,V,D,V,D,V,V,D,V,V,V,D,V,D,D,V,D,V,N,D,V,V,D,2014
Stade toulousain,V,V,D,D,D,D,D,V,V,V,V,D,D,V,D,V,V,V,D,V,V,V,V,V,D,V,2014
RC Toulon,V,V,D,V,D,V,V,V,D,V,D,V,V,D,D,V,V,D,V,V,D,V,D,V,D,V,2014
Union Bordeaux Bègles,V,V,D,D,V,V,D,V,V,D,D,D,D,V,D,V,D,V,D,D,D,D,V,V,V,D,2014
SU Agen,D,D,V,D,D,D,V,D,D,D,D,D,D,D,D,V,D,D,D,D,D,V,D,D,D,V,2015
CA Brive,D,V,D,V,V,V,D,V,V,D,D,V,D,V,D,D,N,D,V,D,V,D,V,V,D,V,2015
Castres olympique,D,V,D,V,D,D,D,V,V,V,V,D,D,V,D,V,D,V,D,V,V,V,D,V,V,V,2015
ASM Clermont,V,V,V,N,V,D,V,D,D,V,D,V,V,D,V,V,V,V,V,V,V,D,V,V,D,V,2015
FC Grenoble,V,D,V,D,D,V,V,D,D,D,D,V,V,V,D,V,D,D,V,V,D,D,D,D,D,D,2015
Stade rochelais,D,D,V,D,D,V,D,V,D,V,D,V,D,D,V,D,V,V,D,V,V,D,V,D,D,D,2015
Montpellier HR,V,D,V,V,V,V,D,D,V,D,V,D,V,V,D,V,V,V,V,V,V,V,D,V,V,D,2015
US Oyonnax,D,V,D,D,D,D,V,D,D,D,V,D,V,D,D,D,D,D,D,D,D,V,D,D,D,D,2015
Section paloise,D,V,D,V,D,D,D,V,D,N,V,D,V,D,V,D,V,D,V,V,D,D,D,D,V,D,2015
Racing 92,V,V,D,V,V,V,V,D,V,N,V,V,D,V,V,D,V,V,D,V,D,V,D,V,V,V,2015
Stade français Paris,V,D,D,D,V,D,D,V,V,D,D,V,V,D,V,D,D,D,D,D,D,D,V,D,V,D,2015
Stade toulousain,V,V,V,D,V,D,V,V,D,V,V,D,D,V,D,D,N,N,V,D,V,V,V,V,V,V,2015
RC Toulon,D,D,V,V,D,V,D,V,V,V,D,V,D,V,V,V,D,V,V,D,V,D,V,V,D,V,2015
Union Bordeaux Bègles,V,D,D,N,V,V,V,D,V,V,V,D,V,D,V,V,V,N,D,D,D,V,V,D,V,D,2015
Aviron bayonnais,V,N,D,D,D,D,N,D,D,D,V,V,D,D,D,D,V,D,N,D,V,D,D,D,V,D,2016
Union Bordeaux Bègles,V,D,D,V,D,V,V,V,D,V,V,V,D,D,D,D,N,D,D,V,D,V,D,V,D,D,2016
CA Brive,N,V,V,D,V,D,V,D,D,V,D,V,D,V,D,V,D,D,V,V,D,V,V,D,D,V,2016
Castres olympique,V,N,D,D,V,V,D,D,V,D,V,V,V,D,V,D,V,V,V,D,V,D,D,D,V,D,2016
ASM Clermont,N,V,N,V,V,D,V,V,V,V,D,V,D,V,D,V,N,V,D,D,V,D,D,V,V,V,2016
FC Grenoble,D,D,D,V,D,D,D,V,D,D,D,D,D,V,D,D,V,D,V,D,N,V,D,D,D,V,2016
Lyon OU,N,D,V,D,V,D,N,V,D,V,D,D,D,D,V,D,V,D,V,V,D,V,V,V,D,D,2016
Montpellier HR,D,D,V,V,V,V,D,V,V,D,V,D,V,V,D,V,D,V,D,V,V,D,V,V,D,V,2016
Section paloise,D,D,V,D,V,V,D,D,D,D,V,D,V,V,V,V,V,V,N,V,D,D,D,D,V,D,2016
